o_zone_id,d_zone_id,volume
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.0
1,32,0.0
1,33,0.0
1,34,0.0
1,35,0.0
1,36,0.0
1,37,0.0
1,38,0.0
1,39,0.0
1,40,0.0
1,41,0.0
1,42,0.0
1,43,0.0
1,44,0.0
1,45,0.0
1,46,0.0
1,47,0.0
1,48,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
2,27,0.0
2,28,0.0
2,29,0.0
2,30,0.0
2,31,0.0
2,32,0.0
2,33,0.0
2,34,0.0
2,35,0.0
2,36,0.0
2,37,0.0
2,38,0.0
2,39,0.0
2,40,0.0
2,41,0.0
2,42,0.0
2,43,0.0
2,44,0.0
2,45,0.0
2,46,0.0
2,47,0.0
2,48,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,0.0
3,26,0.0
3,27,0.0
3,28,0.0
3,29,0.0
3,30,0.0
3,31,0.0
3,32,0.0
3,33,0.0
3,34,0.0
3,35,0.0
3,36,0.0
3,37,0.0
3,38,0.0
3,39,0.0
3,40,0.0
3,41,0.0
3,42,0.0
3,43,0.0
3,44,0.0
3,45,0.0
3,46,0.0
3,47,0.0
3,48,0.0
4,5,0.0
4,6,0.0001994450172698361
4,7,0.0012499062458214134
4,8,2.7882900875069918e-05
4,9,0.0
4,10,0.0
4,11,0.0010690745286786834
4,12,0.010151956618783
4,13,0.009631446446136194
4,14,0.00010415109184384473
4,15,0.0
4,16,0.0
4,17,0.0008176208498026413
4,18,0.012548655813991854
4,19,0.004710891445141478
4,20,0.0001753561759829664
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,0.0
4,26,0.00013043960788001446
4,27,0.007328542292228406
4,28,0.01046714144720286
4,29,0.00711504041805521
4,30,0.0025141013552404208
4,31,0.00022887119826055084
4,32,0.0003410827764307481
4,33,0.005039952159294847
4,34,0.0210169931061978
4,35,0.008394455375019334
4,36,0.00044440661929319756
4,37,4.466674567227752e-06
4,38,0.0
4,39,0.0
4,40,0.006848823757901687
4,41,0.015553844929515205
4,42,0.004468003059549971
4,43,0.00012774953273272984
4,44,4.3178788659804426e-07
4,45,4.847080282775691e-05
4,46,0.004937158319248188
4,47,0.001038637646340234
4,48,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
5,24,0.0
5,25,0.0
5,26,0.0
5,27,0.0
5,28,0.0
5,29,0.0
5,30,0.0
5,31,0.0
5,32,0.0
5,33,0.0
5,34,0.0
5,35,0.0
5,36,0.0
5,37,0.0
5,38,0.0
5,39,0.0
5,40,0.0
5,41,0.0
5,42,0.0
5,43,0.0
5,44,0.0
5,45,0.0
5,46,0.0
5,47,0.0
5,48,0.0
6,7,0.34932565715895125
6,8,0.007838131946006244
6,9,0.0
6,10,0.0
6,11,1.2480663538482448
6,12,2.9879783438627125
6,13,2.7150503514751683
6,14,0.02946750213178276
6,15,0.0
6,16,0.0
6,17,0.9101850916650283
6,18,3.8585042354969667
6,19,1.3331293047251056
6,20,0.04969473454089914
6,21,0.0
6,22,0.0
6,23,0.0
6,24,0.0
6,25,0.0
6,26,0.15075112459657702
6,27,7.841278438565094
6,28,3.3469814273607934
6,29,2.0233912580185858
6,30,0.7138965420618
6,31,0.06500439520439334
6,32,0.3930633247225406
6,33,5.206241590055983
6,34,6.964564671552282
6,35,2.4013306265872307
6,36,0.12648719638505068
6,37,0.0012703265412953532
6,38,0.0
6,39,0.0
6,40,6.852990413233317
6,41,5.325871791760013
6,42,1.2868306324805914
6,43,0.036457390223293855
6,44,0.00012298586971865017
6,45,0.04710859741366743
6,46,1.742359730875047
6,47,0.3014228296418565
6,48,0.0
7,8,0.03588508622913167
7,9,0.0
7,10,0.0
7,11,1.3790281243060654
7,12,13.759661568917759
7,13,12.423239414362985
7,14,0.13411183648598765
7,15,0.0
7,16,0.0
7,17,1.0570236192267013
7,18,16.910499274709267
7,19,6.089756912488712
7,20,0.22604659298881902
7,21,0.0
7,22,0.0
7,23,0.0
7,24,0.0
7,25,0.0
7,26,0.16834773720711543
7,27,9.495000813280747
7,28,14.07227335555218
7,29,9.217337487432246
7,30,3.2443710661571576
7,31,0.2949685708245602
7,32,0.4406953617005501
7,33,6.543617088155135
7,34,28.21929592908578
7,35,10.897381116025631
7,36,0.574110181768826
7,37,0.0057607589275699865
7,38,0.0
7,39,0.0
7,40,8.910139043541939
7,41,20.866940499549887
7,42,5.8117717755418505
7,43,0.1652099405404912
7,44,0.0005572822279750173
7,45,0.06318059641397826
7,46,6.6199296329281125
7,47,1.353579333422788
7,48,0.0
8,9,0.0
8,10,0.0
8,11,0.03336246562349894
8,12,0.33076490842963363
8,13,1.2456899510227333
8,14,0.013356356441927534
8,15,0.0
8,16,0.0
8,17,0.02561655906160686
8,18,0.42715231488752303
8,19,0.5812822832674654
8,20,0.02247503831413488
8,21,0.0
8,22,0.0
8,23,0.0
8,24,0.0
8,25,0.0
8,26,0.004101001737484035
8,27,0.23076452327227506
8,28,0.37055524014930435
8,29,0.8442225293429166
8,30,0.3216982171854847
8,31,0.029177085220933523
8,32,0.010749816953689833
8,33,0.15966019110156462
8,34,0.7711572080663406
8,35,0.9620379800202015
8,36,0.056712913427234175
8,37,0.0005691247648581061
8,38,0.0
8,39,0.0
8,40,0.21847820344784274
8,41,0.5897955658580899
8,42,0.4962029407230885
8,43,0.016243119824763553
8,44,5.496867557355124e-05
8,45,0.0015583332795768036
8,46,0.19298431905141536
8,47,0.11208184084883531
8,48,0.0
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
9,20,0.0
9,21,0.0
9,22,0.0
9,23,0.0
9,24,0.0
9,25,0.0
9,26,0.0
9,27,0.0
9,28,0.0
9,29,0.0
9,30,0.0
9,31,0.0
9,32,0.0
9,33,0.0
9,34,0.0
9,35,0.0
9,36,0.0
9,37,0.0
9,38,0.0
9,39,0.0
9,40,0.0
9,41,0.0
9,42,0.0
9,43,0.0
9,44,0.0
9,45,0.0
9,46,0.0
9,47,0.0
9,48,0.0
10,11,0.0
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
10,20,0.0
10,21,0.0
10,22,0.0
10,23,0.0
10,24,0.0
10,25,0.0
10,26,0.0
10,27,0.0
10,28,0.0
10,29,0.0
10,30,0.0
10,31,0.0
10,32,0.0
10,33,0.0
10,34,0.0
10,35,0.0
10,36,0.0
10,37,0.0
10,38,0.0
10,39,0.0
10,40,0.0
10,41,0.0
10,42,0.0
10,43,0.0
10,44,0.0
10,45,0.0
10,46,0.0
10,47,0.0
10,48,0.0
11,12,9.821245457432214
11,13,8.91898095736348
11,14,0.09678280659363557
11,15,0.0
11,16,0.0
11,17,3.151520608208973
11,18,12.711297668346655
11,19,4.384217564469941
11,20,0.16333649381484966
11,21,0.0
11,22,0.0
11,23,0.0
11,24,0.0
11,25,0.0
11,26,0.497777415222227
11,27,26.994701711569785
11,28,11.050751249004275
11,29,6.661628877131424
11,30,2.3481486963117932
11,31,0.2137119391622771
11,32,1.3007544558521633
11,33,17.881046050843853
11,34,23.045023214471723
11,35,7.914626124757362
11,36,0.41634515189762167
11,37,0.0041786601051049315
11,38,0.0
11,39,0.0
11,40,23.50650982107387
11,41,17.659887720292573
11,42,4.245939027144278
11,43,0.12009031638048646
11,44,0.0004047734516890228
11,45,0.1614557891177525
11,46,5.789113742756553
11,47,0.9956287072235409
11,48,0.0
12,13,111.55389221779939
12,14,1.2035632778283911
12,15,0.0
12,16,0.0
12,17,9.51313514539533
12,18,159.91465398809535
12,19,54.80461502191385
12,20,2.0308370682574433
12,21,0.0
12,22,0.0
12,23,0.0
12,24,0.0
12,25,0.0
12,26,1.514237318382588
12,27,85.64491328792836
12,28,132.31141651273
12,29,83.13352260860562
12,30,29.17972890734718
12,31,2.650466146105941
12,32,3.9683513067297636
12,33,59.151957248800365
12,34,264.7013628426535
12,35,98.4972467926004
12,36,5.169122450829415
12,37,0.05180099905403644
12,38,0.0
12,39,0.0
12,40,80.71416881639804
12,41,195.48264357647832
12,42,52.639529672677696
12,43,1.4891030003321222
12,44,0.00501469376410088
12,45,0.5734902590650335
12,46,61.96525192565178
12,47,12.284362914574242
12,48,0.0
13,14,5.670543864028873
13,15,0.0
13,16,0.0
13,17,10.881851202377566
13,18,181.7582109782374
13,19,259.82823208059887
13,20,9.562910110704642
13,21,0.0
13,22,0.0
13,23,0.0
13,24,0.0
13,25,0.0
13,26,1.7424261965470031
13,27,98.13677360957561
13,28,158.02207268080855
13,29,375.1953206444728
13,30,137.17590327773863
13,31,12.407062501194648
13,32,4.570743840853366
13,33,67.97312816726772
13,34,329.56339982424845
13,35,426.54969966094853
13,36,24.23422051996685
13,37,0.24226930667557714
13,38,0.0
13,39,0.0
13,40,93.1156429696228
13,41,252.58005451630996
13,42,219.72333334969818
13,43,6.955134750385946
13,44,0.023424282651648337
13,45,0.664880783418871
13,46,82.81043117176195
13,47,49.590389709903235
13,48,0.0
14,15,0.0
14,16,0.0
14,17,0.19577150318428463
14,18,3.2524269502748164
14,19,4.617911809741142
14,20,0.7095491719319232
14,21,0.0
14,22,0.0
14,23,0.0
14,24,0.0
14,25,0.0
14,26,0.03142735330371726
14,27,1.7665479776313362
14,28,2.832509164702997
14,29,7.00529339184452
14,30,9.691418059105468
14,31,0.9124689272360724
14,32,0.08247979753156037
14,33,1.2247322844983042
14,34,5.923965288813377
14,35,8.300607092070308
14,36,1.643213327151809
14,37,0.017769727523152416
14,38,0.0
14,39,0.0
14,40,1.679956570352531
14,41,4.55777585692819
14,42,4.436563695382194
14,43,0.4546391287322957
14,44,0.0017117530336148757
14,45,0.012015701746166191
14,46,1.5015985553767746
14,47,1.0354969119034145
14,48,0.0
15,16,0.0
15,17,0.0
15,18,0.0
15,19,0.0
15,20,0.0
15,21,0.0
15,22,0.0
15,23,0.0
15,24,0.0
15,25,0.0
15,26,0.0
15,27,0.0
15,28,0.0
15,29,0.0
15,30,0.0
15,31,0.0
15,32,0.0
15,33,0.0
15,34,0.0
15,35,0.0
15,36,0.0
15,37,0.0
15,38,0.0
15,39,0.0
15,40,0.0
15,41,0.0
15,42,0.0
15,43,0.0
15,44,0.0
15,45,0.0
15,46,0.0
15,47,0.0
15,48,0.0
16,17,0.0
16,18,0.0
16,19,0.0
16,20,0.0
16,21,0.0
16,22,0.0
16,23,0.0
16,24,0.0
16,25,0.0
16,26,0.0
16,27,0.0
16,28,0.0
16,29,0.0
16,30,0.0
16,31,0.0
16,32,0.0
16,33,0.0
16,34,0.0
16,35,0.0
16,36,0.0
16,37,0.0
16,38,0.0
16,39,0.0
16,40,0.0
16,41,0.0
16,42,0.0
16,43,0.0
16,44,0.0
16,45,0.0
16,46,0.0
16,47,0.0
16,48,0.0
17,18,20.719748212860075
17,19,7.142247750946708
17,20,0.2660379434413042
17,21,0.0
17,22,0.0
17,23,0.0
17,24,0.0
17,25,0.0
17,26,0.8132676906500238
17,27,46.35263541791971
17,28,18.05378123157786
17,29,10.864399365985948
17,30,3.82740053838558
17,31,0.34824457126003894
17,32,2.129979456199077
17,33,30.527415917652036
17,34,37.73298086861571
17,35,12.922199272017458
17,36,0.6791243360362424
17,37,0.0068128460384559225
17,38,0.0
17,39,0.0
17,40,40.037063822442725
17,41,28.978545087643887
17,42,6.939971107691182
17,43,0.1960290337420359
17,44,0.0006602967501495678
17,45,0.27464210127500077
17,46,9.519514019322646
17,47,1.6291281115462621
17,48,0.0
18,19,86.4847098329823
18,20,3.2029431394955123
18,21,0.0
18,22,0.0
18,23,0.0
18,24,0.0
18,25,0.0
18,26,2.390919839224517
18,27,135.4605632155811
18,28,219.8879750208053
18,29,131.48181356203517
18,30,46.071324427273886
18,31,4.182427108159965
18,32,6.272910657788782
18,33,93.76656689407186
18,34,437.3826603303057
18,35,156.12308107717064
18,36,8.170335335327499
18,37,0.08180069273337479
18,38,0.0
18,39,0.0
18,40,128.22518920388643
18,41,322.24822596874037
18,42,83.61540158367112
18,43,2.3562351914437323
18,44,0.007924560389393894
18,45,0.9129850612595479
18,46,102.0163952747505
18,47,19.55367602290599
18,48,0.0
19,20,5.404241653504103
19,21,0.0
19,22,0.0
19,23,0.0
19,24,0.0
19,25,0.0
19,26,0.9847014315427625
19,27,55.49089626419598
19,28,89.50287836888742
19,29,223.23620889547797
19,30,77.6918449355949
19,31,7.015158151145249
19,32,2.584992543000863
19,33,38.47759888247126
19,34,187.07327207009965
19,35,252.33534632294925
19,36,13.755177635722424
19,37,0.13713030308699556
19,38,0.0
19,39,0.0
19,40,52.76807265046278
19,41,143.68223605650417
19,42,129.67658799426644
19,43,3.9560394982670526
19,44,0.01327288054373328
19,45,0.3771953106209096
19,46,47.20527898843855
19,47,29.229564163218264
19,48,0.0
20,21,0.0
20,22,0.0
20,23,0.0
20,24,0.0
20,25,0.0
20,26,0.060970413246483474
20,27,3.42810534908558
20,28,5.499665072649342
20,29,13.624157731054101
20,30,19.794912515763468
20,31,1.7745160596210126
20,32,0.16010261985723495
20,33,2.3784134493834337
20,34,11.514657918520669
20,35,16.178294355754918
20,36,3.33704014118461
20,37,0.034631258811466004
20,38,0.0
20,39,0.0
20,40,3.264832230775031
20,41,8.868748447099946
20,42,8.665378146908076
20,43,0.9211094548432509
20,44,0.0033429762084259975
20,45,0.023368316228780814
20,46,2.9250292114009677
20,47,2.026649331603197
20,48,0.0
21,22,0.0
21,23,0.0
21,24,0.0
21,25,0.0
21,26,0.0
21,27,0.0
21,28,0.0
21,29,0.0
21,30,0.0
21,31,0.0
21,32,0.0
21,33,0.0
21,34,0.0
21,35,0.0
21,36,0.0
21,37,0.0
21,38,0.0
21,39,0.0
21,40,0.0
21,41,0.0
21,42,0.0
21,43,0.0
21,44,0.0
21,45,0.0
21,46,0.0
21,47,0.0
21,48,0.0
22,23,0.0
22,24,0.0
22,25,0.0
22,26,0.0
22,27,0.0
22,28,0.0
22,29,0.0
22,30,0.0
22,31,0.0
22,32,0.0
22,33,0.0
22,34,0.0
22,35,0.0
22,36,0.0
22,37,0.0
22,38,0.0
22,39,0.0
22,40,0.0
22,41,0.0
22,42,0.0
22,43,0.0
22,44,0.0
22,45,0.0
22,46,0.0
22,47,0.0
22,48,0.0
23,24,0.0
23,25,0.0
23,26,0.0
23,27,0.0
23,28,0.0
23,29,0.0
23,30,0.0
23,31,0.0
23,32,0.0
23,33,0.0
23,34,0.0
23,35,0.0
23,36,0.0
23,37,0.0
23,38,0.0
23,39,0.0
23,40,0.0
23,41,0.0
23,42,0.0
23,43,0.0
23,44,0.0
23,45,0.0
23,46,0.0
23,47,0.0
23,48,0.0
24,25,0.0
24,26,0.0
24,27,0.0
24,28,0.0
24,29,0.0
24,30,0.0
24,31,0.0
24,32,0.0
24,33,0.0
24,34,0.0
24,35,0.0
24,36,0.0
24,37,0.0
24,38,0.0
24,39,0.0
24,40,0.0
24,41,0.0
24,42,0.0
24,43,0.0
24,44,0.0
24,45,0.0
24,46,0.0
24,47,0.0
24,48,0.0
25,26,0.0
25,27,0.0
25,28,0.0
25,29,0.0
25,30,0.0
25,31,0.0
25,32,0.0
25,33,0.0
25,34,0.0
25,35,0.0
25,36,0.0
25,37,0.0
25,38,0.0
25,39,0.0
25,40,0.0
25,41,0.0
25,42,0.0
25,43,0.0
25,44,0.0
25,45,0.0
25,46,0.0
25,47,0.0
25,48,0.0
26,27,13.657036044248432
26,28,5.34795489149003
26,29,3.2349851016542326
26,30,1.1421182397289646
26,31,0.10404258505457038
26,32,2.6192757112626097
26,33,9.474711925940289
26,34,11.209096576288536
26,35,3.852703039831671
26,36,0.20282130617561286
26,37,0.0020366414412691983
26,38,0.0
26,39,0.0
26,40,12.984851348963636
26,41,8.642390751591616
26,42,2.072560861604439
26,43,0.05860295779023834
26,44,0.00019752872335175023
26,45,0.09264795803362715
26,46,2.8532293219256912
26,47,0.4875072082511735
26,48,0.0
27,28,188.3120125614521
27,29,113.2566729597376
27,30,39.89142326422558
27,31,3.6292678703279693
27,32,22.268399817823123
27,33,335.42946299660196
27,34,394.46888506174815
27,35,134.85808426655402
27,36,7.083418097570822
27,37,0.07103942037666633
27,38,0.0
27,39,0.0
27,40,437.39579865082845
27,41,303.62379726644855
27,42,72.50683646211682
27,43,2.0461216256696613
27,44,0.006888837689332969
27,45,2.9933427430812753
27,46,99.95825864357377
27,47,17.039404454173187
27,48,0.0
28,29,138.9683011923245
28,30,48.66679045802626
28,31,4.417221198659234
28,32,6.633886458627371
28,33,99.33154254710847
28,34,486.84821735540714
28,35,165.38056737046983
28,36,8.640068538654395
28,37,0.08645516865597218
28,38,0.0
28,39,0.0
28,40,136.13823194691724
28,41,356.63485115536116
28,42,88.768148921793
28,43,2.49441989089132
28,44,0.008381502647608853
28,45,0.9714380330879012
28,46,112.63676452417918
28,47,20.803219737187373
28,48,0.0
29,30,154.63753919921956
29,31,13.955088570486327
29,32,5.145223924415237
29,33,76.62892532187652
29,34,373.1863920771236
29,35,528.7862124938817
29,36,27.438389555373956
29,37,0.27308430493969227
29,38,0.0
29,39,0.0
29,40,105.20508855744723
29,41,287.2570224219408
29,42,270.18723826665473
29,43,7.908471889023906
29,44,0.026460316434012823
29,45,0.7528521216342937
29,46,94.57784244963811
29,47,60.757870529911834
29,48,0.0
30,31,37.49119036643446
30,32,3.381706064275145
30,33,50.25070531313018
30,34,243.41203405152646
30,35,342.5643414332152
30,36,74.20852104970191
30,37,0.733256995488554
30,38,0.0
30,39,0.0
30,40,69.02924796267624
30,41,187.68387388822018
30,42,183.88084141745145
30,43,20.365956386401947
30,44,0.07093276386329718
30,45,0.4944431021701192
30,46,61.96774147143288
30,47,43.096846734011116
30,48,0.0
31,32,0.7692705964717113
31,33,11.416710007040585
31,34,55.17700147936123
31,35,77.23649409472054
31,36,16.611103733453458
31,37,0.6858117070199152
31,38,0.0
31,39,0.0
31,40,15.687534664484263
31,41,42.56830269897546
31,42,41.528475669852185
31,43,4.787997687236058
31,44,0.06318556319301984
31,45,0.11241962513445834
31,46,14.067899551743723
31,47,9.760163921313524
31,48,0.0
32,33,37.395310406536346
32,34,44.21465328986742
32,35,15.194186776701638
32,36,0.7998046812762245
32,37,0.008030823845375712
32,38,0.0
32,39,0.0
32,40,51.36703392729745
32,41,34.128658239076366
32,42,8.179786528369863
32,43,0.23122225836438806
32,44,0.0007792303610375289
32,45,0.3673373768274662
32,46,11.28002115555096
32,47,1.9254753059252963
32,48,0.0
33,34,411.0051416161568
33,35,140.42994218009352
33,36,7.3746794450653415
33,37,0.07395349975081594
33,38,0.0
33,39,0.0
33,40,480.0764732150108
33,41,317.06776961502067
33,42,75.58648710051602
33,43,2.131815824883283
33,44,0.0071753227391766344
33,45,3.2665814158840156
33,46,104.61707296203927
33,47,17.782808802844876
33,48,0.0
34,35,468.35428790721704
34,36,24.454520771821187
34,37,0.244653644520088
34,38,0.0
34,39,0.0
34,40,386.4196749799094
34,41,1063.6427001414866
34,42,251.95007274893763
34,43,7.067841917235997
34,44,0.023735360249942182
34,45,2.7635149637645275
34,46,334.0053115507233
34,47,59.17542701413959
34,48,0.0
35,36,78.86331148077812
35,37,0.7844563225037904
35,38,0.0
35,39,0.0
35,40,302.55087578504765
35,41,827.4878149745383
35,42,817.6054202410639
35,43,22.78042834033262
35,44,0.07609134036574197
35,45,2.1674649798425754
35,46,273.044778014229
35,47,182.80273852129903
35,48,0.0
36,37,0.3358887696931849
36,38,0.0
36,39,0.0
36,40,31.621169259727825
36,41,86.0216833878005
36,42,84.41815893279724
36,43,9.81944920617934
36,44,0.0325630287212083
36,45,0.22666192269404054
36,46,28.432841429535866
36,47,19.828252062850552
36,48,0.0
37,38,0.0
37,39,0.0
37,40,0.6393791052557533
37,41,1.735424378763565
37,42,1.6939398360764677
37,43,0.1956201324863421
37,44,0.002710535991817485
37,45,0.004584392903964113
37,46,0.5739331961438903
37,47,0.39854342237820056
37,48,0.0
38,39,0.0
38,40,0.0
38,41,0.0
38,42,0.0
38,43,0.0
38,44,0.0
38,45,0.0
38,46,0.0
38,47,0.0
38,48,0.0
39,40,0.0
39,41,0.0
39,42,0.0
39,43,0.0
39,44,0.0
39,45,0.0
39,46,0.0
39,47,0.0
39,48,0.0
40,41,1286.523647827626
40,42,306.5194703707115
40,43,8.643330629280417
40,44,0.02908921057451761
40,45,13.962412891961346
40,46,425.4514700881691
40,47,72.19327398167798
40,48,0.0
41,42,1018.5496982279764
41,43,28.556600730606252
41,44,0.09588137826828569
41,45,11.197437797271297
41,46,1422.011370943992
41,47,239.75983892189
41,48,0.0
42,43,62.458612126315515
42,44,0.20850732364171037
42,45,5.946039770171517
42,46,750.3067962186732
42,47,527.6861305612
42,48,0.0
43,44,0.05796486676140675
43,45,0.40348196968314703
43,46,50.640970753075706
43,47,35.3740354104797
43,48,0.0
44,45,0.0024549930101108075
44,46,0.30742939616272547
44,47,0.2135956108271637
44,48,0.0
45,46,12.770715757335381
45,47,2.165759242664619
45,48,0.0
46,47,977.4353870000006
46,48,0.0
47,48,0.0
